date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:28	177/177	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Feb%202018%2010:13:30%20GMT	http://coderthemes.com/robots.txt		(from )
13:13:33	36194/36194	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin_2/index.html	C:/Users/RIGALLITOH/Downloads/coder/coderthemes.com/velonic_3.0/admin_2/index.html	(from )
13:13:36	5430/5430	---MCZ	200	added ('OK')	image/x-icon	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin_2/img/favicon_1.ico	C:/Users/RIGALLITOH/Downloads/coder/coderthemes.com/velonic_3.0/admin_2/img/favicon_1.ico	(from http://coderthemes.com/velonic_3.0/admin_2/index.html)
13:13:44	121260/121260	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin_2/css/bootstrap.min.css	C:/Users/RIGALLITOH/Downloads/coder/coderthemes.com/velonic_3.0/admin_2/css/bootstrap.min.css	(from http://coderthemes.com/velonic_3.0/admin_2/index.html)
13:13:48	69747/69747	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin_2/css/animate.css	C:/Users/RIGALLITOH/Downloads/coder/coderthemes.com/velonic_3.0/admin_2/css/animate.css	(from http://coderthemes.com/velonic_3.0/admin_2/index.html)
13:13:48	13615/13615	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin_2/css/bootstrap-reset.css	C:/Users/RIGALLITOH/Downloads/coder/coderthemes.com/velonic_3.0/admin_2/css/bootstrap-reset.css	(from http://coderthemes.com/velonic_3.0/admin_2/index.html)
13:13:49	443/443	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin_2/assets/morris/morris.css	C:/Users/RIGALLITOH/Downloads/coder/coderthemes.com/velonic_3.0/admin_2/assets/morris/morris.css	(from http://coderthemes.com/velonic_3.0/admin_2/index.html)
13:13:50	8982/8982	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin_2/assets/sweet-alert/sweet-alert.min.css	C:/Users/RIGALLITOH/Downloads/coder/coderthemes.com/velonic_3.0/admin_2/assets/sweet-alert/sweet-alert.min.css	(from http://coderthemes.com/velonic_3.0/admin_2/index.html)
13:13:51	4819/4819	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin_2/css/helper.css	C:/Users/RIGALLITOH/Downloads/coder/coderthemes.com/velonic_3.0/admin_2/css/helper.css	(from http://coderthemes.com/velonic_3.0/admin_2/index.html)
13:13:53	42998/42998	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202017%2007:59:01%20GMT	http://coderthemes.com/velonic_3.0/admin_2/assets/ionicon/css/ionicons.min.css	C:/Users/RIGALLITOH/Downloads/coder/coderthemes.com/velonic_3.0/admin_2/assets/ionicon/css/ionicons.min.css	(from http://coderthemes.com/velonic_3.0/admin_2/index.html)
